SMILES,QED,MW,HBD,HBA,LogP,SA
CCC(O)C1COC(C)CC2C(CC(C)C3CC32)SC1,0.8448000831155845,298.492,1,3,3.5762000000000027,5.4715579453146965
CCC(O)C(C)CC1C2C3C(C)C(C)CC32C12C(C)OC2N,0.8392152173739733,307.47800000000007,2,3,3.0115000000000007,6.4141335994486335
C.CC1CC(CCCC2CC2)C2CN3C(C12)C1C2CC4CNC2C4C13,0.8302268044141711,342.5710000000001,1,2,4.0115000000000025,6.577286661951612
C.CCN1C2CCCNC2C1CCCC12CCCCC1C2,0.8168144762528468,292.511,1,2,4.1978000000000035,4.743857659424906
CCC(O)C1CC2CC3(CNC2C1)C1CC1CN3CCC1CC1C,0.8125046286461408,332.53200000000015,2,3,2.8820000000000014,5.819616191651459
CCC(CC1CC1C)CC1CCC23C1C2C1CN2C4CCN5NN2C3C5C14,0.8046979480481481,368.5690000000001,1,4,3.1281000000000017,7.817676346262502
CC1(O)CC1C1CCC23CC4C5CCCN4CC52CC3C1,0.8010645133796567,287.447,1,2,3.048000000000002,6.765493056047728
C.CCC(O)N1CC2CCCCCCCC3C(CC21)N1CC31,0.791316863718224,308.50999999999993,1,3,3.468300000000002,5.166474598680569
CCC1CC2CC3C1CCCC3C2CC1CCCN2C1Nn1n(C(O)C3CC3)n12,0.7907386148837238,401.59900000000005,2,3,3.711800000000002,6.2929036917924055
CCCC1OC12C1CCC(C3NC4C3CN3C5CCN(CCC43)C5)C12,0.7905253470234935,343.5150000000002,1,4,1.6989000000000007,6.598433029572121
CCC1CCC(CCC2CC3CNCC4CC34C2)CC1,0.7892254949286699,275.48,1,1,4.618700000000004,4.598276681962494
C1CCCC(CC2CCC3C(C2)C2CN4C5NCN6NN4C3C6C25)CCC1,0.7800786934858354,371.57300000000015,2,5,2.9209000000000014,6.647031068487099
CCC(O)N1CCC2(C3CC4C(C42)N2C4CC5CC6CC6C5CC45CC25C3)C1C,0.7733785978574453,394.60300000000024,1,3,3.7127000000000026,4.362455226429736
CCCC(CC)CN1CCC(C2NN3N4CNC35CCCC5C24)CC1,0.7709674967212181,347.5510000000003,2,5,2.3698000000000006,6.486232524804055
CCC1C2C3(C4CCC56ON1C5C3CC6C4)C1N3C(NC4CCC5CC5C4)C213,0.7633467162719155,379.5480000000002,1,4,2.740100000000001,7.855473261229765
C.CC(O)C1CC2CCC3CCSC3C2N1C12CCC(CC1C)C2C,0.7599738968862417,365.6270000000002,1,3,4.802600000000004,6.230559500756728
CC1CC1C1C2CNC(C)C(C2)C23C4CCCCCC4C2C13,0.7597324349630263,299.50199999999995,1,1,4.3289000000000035,6.229106813783898
CCC1CC(N)C2C(NC3C4CCCCCC4C32)C1C(C)Cl,0.7587545854239478,324.93999999999994,2,2,3.7700000000000022,5.2438770006564575
CC1CC2(C)CC12CCN1CNCNCC2C(CCC3C4CCCCC4C23)C1,0.75831023530063,385.64000000000027,2,3,4.3011000000000035,5.707139133405661
C.CCC1OC1CCC1CC2N3C4C2(C1C)N1CNC2NCCC2C431,0.7563259332993002,346.51900000000006,2,5,1.5495000000000014,6.872637580684327
CC(Cl)C(C)CC1CC2CCC3CC4C5NCC6C4C6C5C321.F,0.7554521913704767,339.926,1,1,4.308600000000004,7.369000877491629
CC1CCC(C2C3CC3CC3CC4CC45CC4C(F)CC45C32)C1O,0.7534338643510241,330.487,1,1,4.439900000000005,6.23750439671487
CC1C(CCC2CCC(C3CNC4CCC5NCCC5C43)CC2)C1(C)C,0.7511275546278124,358.6140000000002,2,2,4.841200000000004,4.81323038621342
C.CC1NN2C3CCC(CCCC4CC5CCCCC5C5OC5N4)C1C32,0.7496420283880747,361.57399999999996,2,4,3.671700000000002,5.639836137837294
CCS1(O)OC1C1C(C)C2C3CCCCCC2C2(C3)C3C1CCN32,0.7451580003657193,351.5560000000001,1,3,4.480400000000004,7.224398141326863
